Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
-413,1505,1850,2098,2307,2108,2724,2735,3044,2585,2848,2852,2661,2864,2501,2322,2953,2577,2520,2469,2554,2532,2673,2538,2508,2624,2541,2571,2480,2496,2539,2712,2627,2612,2536,2549,2747,2661,2720,2630,2682,2707,2808,2863,2614,2887,2545,3102,2648,3064,2675,2982,2922,3010,3148,2664,2967,3135,2857,3072,2906,3074,2905,2756,2872,2839,2726,2801,2725,2908,2473,2563,2674,2772,2919,2737,2698,2827,2699,2450,2331,2431,2465,2522,2810,2641,2796,2691,2865,2686,2535,2560,2696,2703,2510,2819,2953,2783,2768,2827,2759,2700,2916,2712,2888,2729,2657,2693,2634
-2116,-818,-463,-165,176,1196,218,384,1630,489,684,1557,306,517,37,257,617,468,287,206,461,564,504,326,471,515,270,399,312,432,172,399,687,551,381,370,599,415,668,325,534,380,593,753,313,550,393,752,702,660,596,693,635,556,691,540,613,599,457,545,417,663,447,508,484,385,393,475,182,424,322,85,507,356,410,277,320,294,284,287,149,233,259,168,333,155,497,242,182,268,262,164,366,337,161,166,314,226,107,120,167,176,440,-113,276,102,-67,253,219
-1707,-652,-53,-116,-127,111,330,695,805,714,694,801,589,773,680,765,682,553,966,532,663,643,626,634,811,811,758,603,750,686,921,938,850,852,735,920,934,1027,950,887,946,895,1105,1122,1125,856,1140,1393,1314,1277,1135,1432,1585,1697,1502,1420,1542,1561,1355,1340,1769,1494,1383,1535,1493,1206,1333,1161,1156,1212,1031,1151,1394,1086,1048,830,1108,1067,908,824,941,874,958,1067,868,770,1091,903,948,1082,1011,975,1043,975,852,932,1099,788,814,892,957,918,966,735,978,961,856,830,1030
-1724,-867,-329,-171,-1,-172,257,575,759,634,735,688,477,756,450,517,768,752,688,512,651,695,802,703,870,693,715,868,620,706,672,809,847,868,846,702,1015,972,1234,769,881,952,897,1061,809,945,819,1280,1114,1080,803,1065,1039,1079,1121,965,1130,1163,997,925,821,946,768,898,810,913,639,663,768,860,797,775,758,911,1104,922,947,859,690,811,652,713,582,570,739,670,1023,944,820,680,676,675,894,923,772,797,1057,658,681,654,892,775,794,675,787,884,775,856,865
-1669,-1042,-808,-890,-525,-539,-161,53,101,-47,168,163,-98,46,-75,-239,56,-83,15,-45,75,46,169,50,187,184,133,32,16,32,84,151,51,224,117,35,324,146,252,106,312,111,381,284,122,199,222,417,298,368,185,342,242,420,478,216,289,512,300,378,312,311,227,435,356,391,300,328,165,268,516,288,536,335,579,362,579,476,388,568,332,400,351,302,510,376,467,502,540,495,526,422,379,575,455,573,682,461,452,575,565,587,647,471,732,319,477,508,642
-1756,-1017,-385,-213,52,-145,247,445,803,426,776,632,404,650,482,398,727,500,556,396,508,589,639,416,800,861,631,705,624,744,600,861,715,1032,693,749,929,760,922,727,864,820,1026,1096,822,856,695,1138,1038,1250,870,1110,1025,1124,1169,1046,983,1192,941,1089,981,1060,878,970,836,840,808,715,702,729,889,734,1031,912,1175,836,1010,763,971,847,563,784,792,728,758,868,911,934,766,774,794,638,813,1082,679,956,954,785,875,760,703,775,904,522,841,827,823,769,691
-3016,-1697,-1050,-900,-534,-470,-70,32,335,275,350,382,370,637,370,258,608,376,750,527,648,717,793,756,771,759,938,707,816,785,894,987,700,1217,1035,1150,1272,1164,1469,1210,1483,1330,1408,1533,1398,1566,1505,1884,1765,1804,1633,1916,1716,2161,2262,1959,1960,2133,1773,2029,1981,2071,1724,1612,1668,1911,1619,1773,1532,1713,1448,1384,1666,1522,1596,1354,1454,1316,1239,1098,1113,1292,1069,945,1139,1124,1202,1260,1152,1093,1050,998,1262,1360,1049,1284,1342,1198,931,1223,1002,992,1199,1038,1227,1044,1001,1125,1130
-3204,-1632,-978,-756,-348,-375,54,254,536,348,722,660,547,974,763,611,1084,644,877,898,967,949,1042,973,1257,1149,1228,1215,1109,1182,1224,1455,1431,1373,1275,1456,1568,1397,1668,1576,1698,1883,1980,2096,1741,1697,1714,2021,2067,1806,1908,2013,1985,2289,2079,2010,2064,2114,2142,2133,1935,2088,1903,1828,1934,1792,1768,1798,1640,1665,1634,1544,1547,1834,1634,1404,1569,1640,1346,1499,1223,1460,1349,1264,1335,1520,1512,1492,1434,1503,1350,1437,1448,1508,1280,1490,1664,1353,1224,1364,1594,1320,1613,1386,1416,1253,1050,1431,1431
-2914,-1223,-499,-367,-148,-149,265,653,804,620,794,803,734,945,636,654,877,725,787,666,721,713,799,626,999,882,849,864,776,834,970,956,905,1106,878,966,1118,928,1216,1014,1001,982,1228,1215,1009,1344,957,1255,1163,1299,1100,1096,1152,1254,1192,981,1083,1278,827,963,1007,993,771,820,828,626,597,760,571,735,587,612,798,746,707,584,770,691,650,596,483,518,498,361,515,431,535,560,545,527,559,483,533,538,312,531,709,305,592,388,390,390,583,307,469,344,230,534,331
-2272,-1124,-457,-154,29,172,513,751,1065,776,993,890,852,1241,1015,854,1168,1016,1335,965,1172,1268,1276,1117,1331,1443,1254,1339,1264,1198,1358,1550,1449,1806,1480,1661,1941,1534,1622,1411,1602,1626,1910,1849,1633,1807,1783,2041,1983,2103,1799,2056,1921,2169,2046,2327,2105,1948,1887,2284,1879,1835,1728,1688,1832,1746,1526,1636,1612,1492,1588,1206,1452,1636,1680,1367,1544,1398,1203,1424,1189,1516,1294,1351,1433,1238,1505,1469,1304,1131,1195,1322,1404,1460,1376,1365,1397,1244,1305,1293,1262,1401,1463,1279,1515,1376,1164,1520,1273
