,Transfer Volume,Reaction Volume (nL),Destination Well,Source Plate Barcode,Source Plate Type,Source Well,Content,Destination_plate Type
0,25,3000 (nL),A01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
1,25,3000 (nL),A02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
2,25,3000 (nL),A03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
3,100,3000 (nL),A04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
4,100,3000 (nL),A05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
5,100,3000 (nL),A06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
6,150,3000 (nL),A07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
7,150,3000 (nL),A08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
8,150,3000 (nL),A09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
9,200,3000 (nL),A10,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
10,200,3000 (nL),A11,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
11,200,3000 (nL),A12,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
12,275,3000 (nL),A13,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
13,275,3000 (nL),A14,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
14,275,3000 (nL),A15,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
15,325,3000 (nL),A16,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
16,325,3000 (nL),A17,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
17,325,3000 (nL),A18,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
18,400,3000 (nL),A19,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
19,400,3000 (nL),A20,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
20,400,3000 (nL),A21,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
21,450,3000 (nL),A22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
22,450,3000 (nL),A23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
23,450,3000 (nL),A24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
24,500,3000 (nL),B01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
25,500,3000 (nL),B02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
26,500,3000 (nL),B03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
27,575,3000 (nL),B04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
28,575,3000 (nL),B05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
29,575,3000 (nL),B06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A01,Plasmid pP70a(2)-deGFP (nM),384PP_Dest
30,1250,3000 (nL),A01,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
31,1250,3000 (nL),A02,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
32,1250,3000 (nL),A03,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
33,1250,3000 (nL),A04,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
34,1250,3000 (nL),A05,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
35,1250,3000 (nL),A06,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
36,1250,3000 (nL),A07,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
37,1250,3000 (nL),A08,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
38,1250,3000 (nL),A09,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
39,1250,3000 (nL),A10,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
40,1250,3000 (nL),A11,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
41,1250,3000 (nL),A12,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
42,1250,3000 (nL),A13,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
43,1250,3000 (nL),A14,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
44,1250,3000 (nL),A15,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
45,1250,3000 (nL),A16,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
46,1250,3000 (nL),A17,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
47,1250,3000 (nL),A18,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
48,1250,3000 (nL),A19,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
49,1250,3000 (nL),A20,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
50,1250,3000 (nL),A21,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
51,1250,3000 (nL),A22,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
52,1250,3000 (nL),A23,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
53,1250,3000 (nL),A24,384PP_AQ_BP_plate_1,384PP_AQ_BP,{A02;A03},EB,384PP_Dest
