,Plasmid pP70a(2)-deGFP (nM),EB,CE
Mix no1,0.8333333333333334,0.4166666666666667,0.3333333333333333
Mix no2,3.3333333333333335,0.4166666666666667,0.3333333333333333
Mix no3,5.0,0.4166666666666667,0.3333333333333333
Mix no4,6.666666666666667,0.4166666666666667,0.3333333333333333
Mix no5,9.166666666666668,0.4166666666666667,0.3333333333333333
Mix no6,10.833333333333334,0.4166666666666667,0.3333333333333333
Mix no7,13.333333333333334,0.4166666666666667,0.3333333333333333
Mix no8,15.0,0.4166666666666667,0.3333333333333333
Mix no9,16.666666666666664,0.4166666666666667,0.3333333333333333
Mix no10,19.166666666666664,0.4166666666666667,0.3333333333333333
Negative control,0.0,0.4166666666666667,0.3333333333333333
