,Destination Well,Mix_Name,CE_concentration,EB_concentration,Plasmid pP70a(2)-deGFP (nM)_concentration
0,A01,Mix no1,0.33,0.42,1
1,A02,Mix no1,0.33,0.42,1
2,A03,Mix no1,0.33,0.42,1
3,A04,Mix no2,0.33,0.42,3
4,A05,Mix no2,0.33,0.42,3
5,A06,Mix no2,0.33,0.42,3
6,A07,Mix no3,0.33,0.42,5
7,A08,Mix no3,0.33,0.42,5
8,A09,Mix no3,0.33,0.42,5
9,A10,Mix no4,0.33,0.42,7
10,A11,Mix no4,0.33,0.42,7
11,A12,Mix no4,0.33,0.42,7
12,A13,Mix no5,0.33,0.42,9
13,A14,Mix no5,0.33,0.42,9
14,A15,Mix no5,0.33,0.42,9
15,A16,Mix no6,0.33,0.42,11
16,A17,Mix no6,0.33,0.42,11
17,A18,Mix no6,0.33,0.42,11
18,A19,Mix no7,0.33,0.42,13
19,A20,Mix no7,0.33,0.42,13
20,A21,Mix no7,0.33,0.42,13
21,A22,Mix no8,0.33,0.42,15
22,A23,Mix no8,0.33,0.42,15
23,A24,Mix no8,0.33,0.42,15
24,B01,Mix no9,0.33,0.42,17
25,B02,Mix no9,0.33,0.42,17
26,B03,Mix no9,0.33,0.42,17
27,B04,Mix no10,0.33,0.42,19
28,B05,Mix no10,0.33,0.42,19
29,B06,Mix no10,0.33,0.42,19
30,B07,Negative control,0.33,0.42,0
31,B08,Negative control,0.33,0.42,0
32,B09,Negative control,0.33,0.42,0
