,arabinose %, IPTG (mM),EB,CE,1^p (nM),5^p (nM),6^p (nM),169^p (nM),deGFP^p (nM), 1^f (nM), 3^f (nM), 4^f (nM), 5^f(nM), 6^f(nM)
Mix no1 ,0.0,0.0,0.24,0.18857142857142856,0.0,0.0,0.0,0.0,5.7142857142857135,0.0,0.0,0.0,0.0,0.0
Mix no2 ,0.0,0.0,0.24,0.18857142857142856,5.7142857142857135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mix no3 ,0.0,0.0,0.24,0.18857142857142856,0.0,0.0,0.0,0.0,0.0,5.7142857142857135,0.0,0.0,0.0,0.0
Mix no4 ,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,3.597122302158273,3.597122302158273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mix no5 ,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,0.0,3.597122302158273,0.0,0.0,0.0,0.0,0.0,3.597122302158273,0.0
Mix no6 ,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,3.597122302158273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597122302158273
Mix no7 ,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.597122302158273,3.597122302158273
Mix no8 ,0.09900990099009901,0.033003300330033,0.13861386138613863,0.10891089108910891,0.0,3.3003300330033003,3.3003300330033003,0.6600660066006601,0.0,0.0,0.0,0.0,0.0,0.0
Mix no9 ,0.09900990099009901,0.033003300330033,0.13861386138613863,0.10891089108910891,0.0,3.3003300330033003,0.0,0.6600660066006601,0.0,0.0,0.0,0.0,0.0,3.3003300330033003
Mix no10,0.10067114093959731,0.0,0.14093959731543626,0.11073825503355705,0.0,3.3557046979865772,3.3557046979865772,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0
Mix no11,0.10067114093959731,0.0,0.14093959731543626,0.11073825503355705,0.0,3.3557046979865772,3.3557046979865772,0.6711409395973155,0.0,0.0,0.0,0.0,0.0,0.0
Mix no12,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,0.0,3.597122302158273,0.0,0.0,0.0,3.597122302158273,0.0,0.0,0.0
Mix no13,0.10600706713780918,0.03533568904593639,0.14840989399293286,0.1166077738515901,0.0,0.0,3.53356890459364,0.0,0.0,0.0,3.53356890459364,0.0,0.0,0.0
Mix no14,0.10067114093959731,0.0,0.14093959731543626,0.11073825503355705,0.0,0.0,3.3557046979865772,0.6711409395973155,0.0,0.0,3.3557046979865772,0.0,0.0,0.0
Mix no15,0.09900990099009901,0.033003300330033,0.13861386138613863,0.10891089108910891,0.0,0.0,3.3003300330033003,0.6600660066006601,0.0,0.0,3.3003300330033003,0.0,0.0,0.0
Mix no16,0.10791366906474821,0.0,0.1510791366906475,0.11870503597122302,0.0,0.0,3.597122302158273,0.0,0.0,0.0,0.0,3.597122302158273,0.0,0.0
