,Transfer Volume,Reaction Volume (nL),Destination Well,Source Plate Barcode,Source Plate Type,Source Well,Content,Destination_plate Type
0,90,8340 (nL),D10,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
1,90,8340 (nL),D11,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
2,90,8340 (nL),D12,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
3,90,8340 (nL),D13,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
4,90,8340 (nL),D14,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
5,90,8340 (nL),D15,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
6,90,8340 (nL),D16,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
7,90,8340 (nL),D17,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
8,90,8340 (nL),D18,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
9,90,8340 (nL),D19,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
10,90,8340 (nL),D20,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
11,90,8340 (nL),D21,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
12,90,9090 (nL),D22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
13,90,9090 (nL),D23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
14,90,9090 (nL),D24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
15,90,9090 (nL),E01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
16,90,9090 (nL),E02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
17,90,9090 (nL),E03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
18,90,8940 (nL),E04,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
19,90,8940 (nL),E05,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
20,90,8940 (nL),E06,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
21,90,8940 (nL),E07,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
22,90,8940 (nL),E08,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
23,90,8940 (nL),E09,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
24,90,8340 (nL),E10,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
25,90,8340 (nL),E11,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
26,90,8340 (nL),E12,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
27,90,8490 (nL),E13,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
28,90,8490 (nL),E14,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
29,90,8490 (nL),E15,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
30,90,8940 (nL),E16,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
31,90,8940 (nL),E17,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
32,90,8940 (nL),E18,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
33,90,9090 (nL),E19,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
34,90,9090 (nL),E20,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
35,90,9090 (nL),E21,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
36,90,8340 (nL),E22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
37,90,8340 (nL),E23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
38,90,8340 (nL),E24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A06,arabinose %,384PP_Dest
39,150,9090 (nL),D22,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
40,150,9090 (nL),D23,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
41,150,9090 (nL),D24,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
42,150,9090 (nL),E01,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
43,150,9090 (nL),E02,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
44,150,9090 (nL),E03,384PP_AQ_BP_plate_1,384PP_AQ_BP,A07, IPTG (mM),384PP_Dest
