sep=,
20260803_idot_mix_DS_260803_echo_exp,2.3.2.6,<User Name>,08/03/2026,4:07 PM
DispenseToWaste=True,DispenseToWasteCycles=3,DispenseToWasteVolume=1e-7,UseDeionisation=True,OptimizationLevel=ReorderAndParallel,WasteErrorHandlingLevel=Ask,SaveLiquids=Ask

Target Plate,Target Plate Type,Target Plate Barcode,Target Well,Waste Well,Source Plate,Source Plate Type,Source Plate Barcode,Source Well,Volume [uL],Liquid Name,Additional Volume Per Source Well,Liquid Class Name,X Offset,Y Offset,Spot Array
Target Plate 1,384-Well,,D10,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D11,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D12,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D13,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D14,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D15,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D16,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D17,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D18,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D19,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D20,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D21,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D22,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D23,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,D24,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E01,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E02,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E03,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E04,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E05,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E06,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E07,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E08,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E09,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
Target Plate 1,384-Well,,E10,Waste Tube,Source Plate 1,384PP_AQ_BP,,A06,9e-2,arabinose %,0e0,,,,
