,Destination Well,Mix_Name, 1^f (nM)_concentration, 3^f (nM)_concentration, 4^f (nM)_concentration, 5^f(nM)_concentration, 6^f(nM)_concentration, IPTG (mM)_concentration,169^p (nM)_concentration,1^p (nM)_concentration,5^p (nM)_concentration,6^p (nM)_concentration,CE_concentration,EB_concentration,arabinose %_concentration,deGFP^p (nM)_concentration
0,D01,Mix no1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,10.0
1,D02,Mix no1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,10.0
2,D03,Mix no1 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,10.0
3,D04,Mix no2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.33,0.42,0.0,0.0
4,D05,Mix no2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.33,0.42,0.0,0.0
5,D06,Mix no2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.33,0.42,0.0,0.0
6,D07,Mix no3 ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,0.0
7,D08,Mix no3 ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,0.0
8,D09,Mix no3 ,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.0,0.0
9,D10,Mix no4 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
10,D11,Mix no4 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
11,D12,Mix no4 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
12,D13,Mix no5 ,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
13,D14,Mix no5 ,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
14,D15,Mix no5 ,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
15,D16,Mix no6 ,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
16,D17,Mix no6 ,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
17,D18,Mix no6 ,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
18,D19,Mix no7 ,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.3,0.0
19,D20,Mix no7 ,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.3,0.0
20,D21,Mix no7 ,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.3,0.0
21,D22,Mix no8 ,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
22,D23,Mix no8 ,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
23,D24,Mix no8 ,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
24,E01,Mix no9 ,0.0,0.0,0.0,0.0,10.0,0.1,2.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
25,E02,Mix no9 ,0.0,0.0,0.0,0.0,10.0,0.1,2.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
26,E03,Mix no9 ,0.0,0.0,0.0,0.0,10.0,0.1,2.0,0.0,10.0,0.0,0.33,0.42,0.3,0.0
27,E04,Mix no10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
28,E05,Mix no10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
29,E06,Mix no10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
30,E07,Mix no11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
31,E08,Mix no11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
32,E09,Mix no11,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,10.0,0.33,0.42,0.3,0.0
33,E10,Mix no12,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
34,E11,Mix no12,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
35,E12,Mix no12,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
36,E13,Mix no13,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
37,E14,Mix no13,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
38,E15,Mix no13,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
39,E16,Mix no14,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
40,E17,Mix no14,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
41,E18,Mix no14,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
42,E19,Mix no15,0.0,10.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
43,E20,Mix no15,0.0,10.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
44,E21,Mix no15,0.0,10.0,0.0,0.0,0.0,0.1,2.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
45,E22,Mix no16,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
46,E23,Mix no16,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
47,E24,Mix no16,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.33,0.42,0.3,0.0
