Sample,arabinose %,EB,CE,1^f (nM), 3^f (nM), 4^f (nM), 5^f(nM), 6^f(nM)
Mix no1 ,0.0,0.42,0.33,10.0,0.0,0.0,0.0,0.0
Mix no2 ,0.3,0.42,0.33,10.0,0.0,0.0,0.0,0.0
Mix no3 ,0.0,0.42,0.33,10.0,10.0,0.0,0.0,0.0
Mix no4 ,0.3,0.42,0.33,10.0,10.0,0.0,0.0,0.0
Mix no5 ,0.3,0.42,0.33,0.0,0.0,0.0,10.0,10.0
Mix no6 ,0.3,0.42,0.33,0.0,10.0,0.0,10.0,10.0
Mix no7 ,0.0,0.42,0.33,0.0,0.0,0.0,10.0,10.0
Mix no8 ,0.3,0.42,0.33,0.0,10.0,0.0,0.0,10.0
Mix no9 ,0.0,0.42,0.33,0.0,10.0,0.0,0.0,10.0
Mix no10,0.3,0.42,0.33,0.0,0.0,10.0,0.0,10.0
Mix no11,0.0,0.42,0.33,0.0,0.0,10.0,0.0,10.0
Mix no12,0.0,0.42,0.33,0.0,0.0,0.0,0.0,10.0
Mix no13,0.3,0.42,0.33,0.0,0.0,0.0,0.0,10.0
