Solution,arabinose %,(added by mistake ignore this column),IPTG (mM),EB,CE,2^f (nM),5^f (nM),7^f (nM),2^p (nM),5^p(nM),7^p(nM)
Mix no1,0.0,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Mix no2,0.0,0.0,0.0,0.42,0.33,20.0,0.0,0.0,0.0,0.0,0.0
Mix no3,0.0,0.0,0.0,0.42,0.33,0.0,0.0,0.0,20.0,0.0,0.0
Mix no4,0.3,0.0,0.0,0.42,0.33,20.0,0.0,0.0,0.0,0.0,0.0
Mix no5,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,20.0,0.0,0.0
Mix no6,0.0,0.0,0.0,0.42,0.33,0.0,0.0,20.0,0.0,0.0,0.0
Mix no7,0.3,0.0,0.0,0.42,0.33,0.0,0.0,20.0,0.0,0.0,0.0
Mix no8,0.0,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,20.0
Mix no9,0.0,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,0.0,20.0
Mix no10,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,20.0
Mix no11,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,0.0,20.0
Mix no12,0.0,0.0,0.0,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no13,0.0,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no14,0.1,0.0,0.0,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no15,0.3,0.0,0.0,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no16,0.5,0.0,0.0,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no17,0.1,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no18,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no19,0.5,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no20,0.3,0.0,0.0,0.42,0.33,0.0,5.0,20.0,0.0,0.0,0.0
Mix no21,0.3,0.0,0.0,0.42,0.33,0.0,10.0,20.0,0.0,0.0,0.0
Mix no22,0.3,0.0,0.0,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no23,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,5.0,20.0
Mix no24,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,10.0,20.0
Mix no25,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no26,0.3,0.0,0.0,0.42,0.33,0.0,15.0,10.0,0.0,0.0,0.0
Mix no27,0.3,0.0,0.0,0.42,0.33,0.0,15.0,20.0,0.0,0.0,0.0
Mix no28,0.3,0.0,0.0,0.42,0.33,0.0,15.0,30.0,0.0,0.0,0.0
Mix no29,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,15.0,10.0
Mix no30,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,15.0,20.0
Mix no31,0.3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,15.0,30.0
Mix no32,0.0,0.0,0.1,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no33,0.3,0.0,0.1,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no34,0.3,0.0,0.2,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no35,0.3,0.0,0.3,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no36,0.0,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no37,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no38,0.3,0.0,0.2,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no39,0.3,0.0,0.3,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no40,0.3,0.0,0.1,0.42,0.33,0.0,5.0,20.0,0.0,0.0,0.0
Mix no41,0.3,0.0,0.1,0.42,0.33,0.0,10.0,20.0,0.0,0.0,0.0
Mix no42,0.3,0.0,0.1,0.42,0.33,0.0,20.0,20.0,0.0,0.0,0.0
Mix no43,0.3,0.0,0.1,0.42,0.33,0.0,25.0,20.0,0.0,0.0,0.0
Mix no44,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,5.0,20.0
Mix no45,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,10.0,20.0
Mix no46,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,20.0,20.0
Mix no47,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,25.0,20.0
Mix no48,0.3,0.0,0.1,0.42,0.33,0.0,15.0,10.0,0.0,0.0,0.0
Mix no49,0.3,0.0,0.1,0.42,0.33,0.0,15.0,20.0,0.0,0.0,0.0
Mix no50,0.3,0.0,0.1,0.42,0.33,0.0,15.0,30.0,0.0,0.0,0.0
Mix no51,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,15.0,10.0
Mix no52,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,15.0,20.0
Mix no53,0.3,0.0,0.1,0.42,0.33,0.0,0.0,0.0,0.0,15.0,30.0
