Solution,arabinose 30%,IPTG (mM),EB,CE,2^f(nM),3^f(nM),4^f(nM),5-diluted^f(nM),5^f(nM),7^f(nM)
Mix no1,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Mix no2,0.0,0.0,0.42,0.33,20.0,0.0,0.0,0.0,0.0,0.0
Mix no3,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,30.0
Mix no4,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,0.0,30.0
Mix no5,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.1,0.0,30.0
Mix no6,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,1.0,30.0
Mix no7,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,5.0,30.0
Mix no8,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,10.0,30.0
Mix no9,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,0.0,30.0
Mix no10,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.1,0.0,30.0
Mix no11,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,1.0,30.0
Mix no12,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,5.0,30.0
Mix no13,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,10.0,30.0
Mix no14,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,0.0,30.0
Mix no15,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.1,0.0,30.0
Mix no16,0.0,0.0,0.42,0.33,0.0,5.0,0.0,1.0,0.0,30.0
Mix no17,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,5.0,30.0
Mix no18,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,10.0,30.0
Mix no19,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,0.0,30.0
Mix no20,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.1,0.0,30.0
Mix no21,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,1.0,30.0
Mix no22,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,5.0,30.0
Mix no23,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,10.0,30.0
Mix no24,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,0.0,30.0
Mix no25,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.1,0.0,30.0
Mix no26,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,1.0,30.0
Mix no27,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,5.0,30.0
Mix no28,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,10.0,30.0
