Solution,arabinose 30%,IPTG (mM),EB,CE,2^f(nM),3^f(nM),4^f(nM),5^f(nM),7^f(nM)

Mix no1 ,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0
Mix no1 ,0.0,0.0,0.42,0.33,20.0,0.0,0.0,0.0,0.0
Mix no1 ,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,30.0

Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.1,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,1.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,10.0,30.0

Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.1,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,1.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,10.0,30.0

Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.1,30.0
Mix no1 ,0.0,0.0,0.42,0.33,0.0,5.0,0.0,1.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,10.0,30.0

Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.1,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,1.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,10.0,30.0

Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.1,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,1.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,10.0,30.0

