Solution,arabinose 30%,IPTG (mM),EB,CE,2^f(nM),9^p(nM),4^p(nM),5-diluted^f(nM),5^p(nM),7^f(nM)
Mix no1 ,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,0.0
Mix no1 ,0.0,0.0,0.42,0.33,20.0,0.0,0.0,0.0,0.0,0.0
Mix no1 ,0.0,0.0,0.42,0.33,0.0,0.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,0.0,0.0,10.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,5.0,0.0,10.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,10.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,10.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,10.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,10.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,0.0,10.0,0.0,10.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,5.0,0.0,0.0,10.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,10.0,0.0,0.0,10.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.1,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,1.0,0.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,5.0,30.0
Mix no1 ,0.3,0.1,0.42,0.33,0.0,20.0,0.0,0.0,10.0,30.0
